particle,energy_GeV,N_ch,N_sim,Edep_GeV
electron,1.5,2,0,58.0246953125
electron,1.5,2,1,57.19678125
electron,1.5,2,2,57.52219140625
electron,1.5,2,3,57.92765234375
electron,1.5,2,4,57.62493359375
electron,1.5,6,0,58.63533984375
electron,1.5,6,1,57.8308203125
electron,1.5,6,2,56.765578125
electron,1.5,6,3,57.34087890625
electron,1.5,6,4,57.41658203125
electron,1.5,7,0,58.1530546875
electron,1.5,7,1,58.13859765625
electron,1.5,7,2,58.33803125
electron,1.5,7,3,57.44607421875
electron,1.5,7,4,57.5852265625
electron,1.7,0,0,65.064140625
electron,1.7,0,1,64.25519140625
electron,1.7,0,2,63.59347265625
electron,1.7,0,3,65.1726015625
electron,1.7,0,4,65.01238671875
electron,1.7,1,0,64.3622734375
electron,1.7,1,1,65.19560546875
electron,1.7,1,2,63.49482421875
electron,1.7,1,3,64.60709765625
electron,1.7,1,4,64.98442578125
electron,1.7,2,0,63.1367109375
electron,1.7,2,1,63.5667734375
electron,1.7,2,2,65.595828125
electron,1.7,2,3,64.42641015625
electron,1.7,2,4,64.134484375
electron,1.7,6,0,64.25337109375
electron,1.7,6,1,64.04898828125
electron,1.7,6,2,64.23473828125
electron,1.7,6,3,64.581734375
electron,1.7,6,4,63.2252734375
electron,1.7,7,0,64.049671875
electron,1.7,7,1,65.63015625
electron,1.7,7,2,63.97156640625
electron,1.7,7,3,63.46319140625
electron,1.7,7,4,64.6223046875
electron,2.0,0,0,74.668265625
electron,2.0,0,1,73.669265625
electron,2.0,0,2,74.2814140625
electron,2.0,0,3,74.826375
electron,2.0,0,4,74.240453125
electron,2.0,1,0,74.7626171875
electron,2.0,1,1,74.8936796875
electron,2.0,1,2,74.37271875
electron,2.0,1,3,73.8285859375
electron,2.0,1,4,73.67396875
electron,2.0,2,0,73.9361640625
electron,2.0,2,1,74.89646875
electron,2.0,2,2,73.5371328125
electron,2.0,2,3,74.3424921875
electron,2.0,2,4,74.0527578125
electron,2.0,6,0,74.76403125
electron,2.0,6,1,73.68271875
electron,2.0,6,2,74.5079921875
electron,2.0,6,3,74.0341640625
electron,2.0,6,4,73.9734140625
electron,2.0,7,0,74.6902421875
electron,2.0,7,1,75.3803359375
electron,2.0,7,2,74.1544375
electron,2.0,7,3,74.13453125
electron,2.0,7,4,74.0054765625
electron,2.5,0,0,90.047515625
electron,2.5,0,1,90.1155
electron,2.5,0,2,88.9238671875
electron,2.5,0,3,90.918
electron,2.5,0,4,88.6945
electron,2.5,1,0,89.598140625
electron,2.5,1,1,88.851
electron,2.5,1,2,89.569234375
electron,2.5,1,3,88.6168671875
electron,2.5,1,4,89.7827734375
electron,2.5,2,0,90.29540625
electron,2.5,2,1,90.5611640625
electron,2.5,2,2,88.4524609375
electron,2.5,2,3,91.9445546875
electron,2.5,2,4,89.5341328125
electron,2.5,6,0,90.783109375
electron,2.5,6,1,88.59403125
electron,2.5,6,2,89.6514609375
electron,2.5,6,3,89.812546875
electron,2.5,6,4,88.3916796875
electron,2.5,7,0,90.536609375
electron,2.5,7,1,88.891859375
electron,2.5,7,2,89.574875
electron,2.5,7,3,89.7788828125
electron,2.5,7,4,89.1773203125
electron,3.0,0,0,104.136140625
electron,3.0,0,1,104.5464375
electron,3.0,0,2,103.313640625
electron,3.0,0,3,104.31809375
electron,3.0,0,4,104.361296875
electron,3.0,1,0,106.121390625
electron,3.0,1,1,104.2672109375
electron,3.0,1,2,103.6107421875
electron,3.0,1,3,104.65753125
electron,3.0,1,4,105.3011875
electron,3.0,2,0,105.176015625
electron,3.0,2,1,104.42990625
electron,3.0,2,2,103.364953125
electron,3.0,2,3,105.306984375
electron,3.0,2,4,104.412265625
electron,3.0,6,0,104.3502265625
electron,3.0,6,1,103.1775859375
electron,3.0,6,2,104.376265625
electron,3.0,6,3,104.2051640625
electron,3.0,6,4,104.984
electron,3.0,7,0,104.2477734375
electron,3.0,7,1,103.8446640625
electron,3.0,7,2,104.36884375
electron,3.0,7,3,104.0240078125
electron,3.0,7,4,105.564765625
photon,0.2,0,0,9.3996923828125
photon,0.2,0,1,9.300220703125
photon,0.2,0,2,9.392025390625
photon,0.2,0,3,9.1412060546875
photon,0.2,0,4,8.8357021484375
photon,0.2,1,0,9.67438671875
photon,0.2,1,1,9.401849609375
photon,0.2,1,2,9.312451171875
photon,0.2,1,3,8.9208349609375
photon,0.2,1,4,9.2231279296875
photon,0.2,2,0,9.1909912109375
photon,0.2,2,1,8.9717099609375
photon,0.2,2,2,8.922126953125
photon,0.2,2,3,9.3040029296875
photon,0.2,2,4,8.983529296875
photon,0.2,6,0,9.712490234375
photon,0.2,6,1,9.0100810546875
photon,0.2,6,2,9.3407724609375
photon,0.2,6,3,9.4740830078125
photon,0.2,6,4,9.3186865234375
photon,0.2,7,0,9.082564453125
photon,0.2,7,1,9.2379375
photon,0.2,7,2,9.426470703125
photon,0.2,7,3,9.236263671875
photon,0.2,7,4,9.04178125
photon,0.3,0,0,13.70247265625
photon,0.3,0,1,12.934447265625
photon,0.3,0,2,13.461978515625
photon,0.3,0,3,12.94076953125
photon,0.3,0,4,14.533025390625
photon,0.3,1,0,13.757541015625
photon,0.3,1,1,13.1146298828125
photon,0.3,1,2,13.3518955078125
photon,0.3,1,3,13.4373203125
photon,0.3,1,4,13.506806640625
photon,0.3,2,0,13.619376953125
photon,0.3,2,1,13.1578642578125
photon,0.3,2,2,13.590806640625
photon,0.3,2,3,12.9038505859375
photon,0.3,2,4,13.1592880859375
photon,0.3,6,0,12.932580078125
photon,0.3,6,1,13.518998046875
photon,0.3,6,2,13.3861015625
photon,0.3,6,3,13.1303623046875
photon,0.3,6,4,13.1262578125
photon,0.3,7,0,13.225220703125
photon,0.3,7,1,13.17101171875
photon,0.3,7,2,13.3748837890625
photon,0.3,7,3,13.650412109375
photon,0.3,7,4,12.930255859375
photon,0.4,0,0,16.94719921875
photon,0.4,0,1,17.400123046875
photon,0.4,0,2,17.5573671875
photon,0.4,0,3,17.741859375
photon,0.4,0,4,16.96091015625
photon,0.4,1,0,17.1307734375
photon,0.4,1,1,17.01851171875
photon,0.4,1,2,17.5002265625
photon,0.4,1,3,17.366390625
photon,0.4,1,4,17.457263671875
photon,0.4,2,0,17.61969921875
photon,0.4,2,1,17.046984375
photon,0.4,2,2,16.9544921875
photon,0.4,2,3,16.631943359375
photon,0.4,2,4,17.016724609375
photon,0.4,6,0,17.33713671875
photon,0.4,6,1,16.824048828125
photon,0.4,6,2,16.48817578125
photon,0.4,6,3,16.985767578125
photon,0.4,6,4,17.371794921875
photon,0.4,7,0,16.9770859375
photon,0.4,7,1,17.31435546875
photon,0.4,7,2,17.1233828125
photon,0.4,7,3,17.03080078125
photon,0.4,7,4,16.802515625
photon,0.5,0,0,20.196314453125
photon,0.5,0,1,20.649201171875
photon,0.5,0,2,21.043611328125
photon,0.5,0,3,21.075451171875
photon,0.5,0,4,20.28720703125
photon,0.5,1,0,20.776001953125
photon,0.5,1,1,20.245701171875
photon,0.5,1,2,20.233689453125
photon,0.5,1,3,21.153482421875
photon,0.5,1,4,20.559083984375
photon,0.5,2,0,20.149630859375
photon,0.5,2,1,20.5232421875
photon,0.5,2,2,20.22562890625
photon,0.5,2,3,21.03332421875
photon,0.5,2,4,20.609185546875
photon,0.5,6,0,20.658234375
photon,0.5,6,1,20.4856484375
photon,0.5,6,2,20.226435546875
photon,0.5,6,3,21.1670390625
photon,0.5,6,4,20.657658203125
photon,0.5,7,0,21.10596875
photon,0.5,7,1,20.657263671875
photon,0.5,7,2,20.55171484375
photon,0.5,7,3,20.661095703125
photon,0.5,7,4,21.57369140625
photon,0.6,0,0,23.9919296875
photon,0.6,0,1,24.22432421875
photon,0.6,0,2,24.5200625
photon,0.6,0,3,24.28178515625
photon,0.6,0,4,24.73128515625
photon,0.6,1,0,24.24380078125
photon,0.6,1,1,24.1079765625
photon,0.6,1,2,24.12920703125
photon,0.6,1,3,24.050765625
photon,0.6,1,4,23.44196484375
photon,0.6,2,0,24.047634765625
photon,0.6,2,1,24.3836015625
photon,0.6,2,2,23.641986328125
photon,0.6,2,3,24.49388671875
photon,0.6,2,4,23.50982421875
photon,0.6,6,0,23.86026171875
photon,0.6,6,1,24.52162890625
photon,0.6,6,2,23.799953125
photon,0.6,6,3,24.346568359375
photon,0.6,6,4,24.15548828125
photon,0.6,7,0,23.210296875
photon,0.6,7,1,24.27265234375
photon,0.6,7,2,24.61132421875
photon,0.6,7,3,24.177681640625
photon,0.6,7,4,23.6100703125
photon,0.8,0,0,30.52288671875
photon,0.8,0,1,31.34896484375
photon,0.8,0,2,30.7575703125
photon,0.8,0,3,31.328068359375
photon,0.8,0,4,31.408849609375
photon,0.8,1,0,31.18629296875
photon,0.8,1,1,30.833720703125
photon,0.8,1,2,31.346099609375
photon,0.8,1,3,30.668494140625
photon,0.8,1,4,30.407021484375
photon,0.8,2,0,30.98544140625
photon,0.8,2,1,30.309228515625
photon,0.8,2,2,31.401509765625
photon,0.8,2,3,31.061630859375
photon,0.8,2,4,30.487498046875
photon,0.8,6,0,30.5879296875
photon,0.8,6,1,30.6385234375
photon,0.8,6,2,31.05301171875
photon,0.8,6,3,31.178939453125
photon,0.8,6,4,31.219861328125
photon,0.8,7,0,30.430859375
photon,0.8,7,1,30.7758828125
photon,0.8,7,2,31.459951171875
photon,0.8,7,3,30.878298828125
photon,0.8,7,4,31.09355859375
photon,1.0,0,0,36.44277734375
photon,1.0,0,1,37.25665234375
photon,1.0,0,2,36.9906328125
photon,1.0,0,3,37.406390625
photon,1.0,0,4,37.0199609375
photon,1.0,1,0,36.861890625
photon,1.0,1,1,36.10117578125
photon,1.0,1,2,36.50296484375
photon,1.0,1,3,37.03200390625
photon,1.0,1,4,37.51643359375
photon,1.0,2,0,37.56119921875
photon,1.0,2,1,37.40561328125
photon,1.0,2,2,37.52133984375
photon,1.0,2,3,37.26573828125
photon,1.0,2,4,36.80504296875
photon,1.0,6,0,37.19865625
photon,1.0,6,1,36.7250703125
photon,1.0,6,2,37.12726171875
photon,1.0,6,3,37.1149609375
photon,1.0,6,4,37.00271875
photon,1.0,7,0,37.16380859375
photon,1.0,7,1,38.3345
photon,1.0,7,2,36.7363828125
photon,1.0,7,3,36.60853125
photon,1.0,7,4,37.1205859375
photon,1.2,0,0,42.87545703125
photon,1.2,0,1,44.14782421875
photon,1.2,0,2,43.85284375
photon,1.2,0,3,43.6472109375
photon,1.2,0,4,43.2405078125
photon,1.2,1,0,42.53445703125
photon,1.2,1,1,43.16192578125
photon,1.2,1,2,43.23900390625
photon,1.2,1,3,43.16143359375
photon,1.2,1,4,43.0148515625
photon,1.2,2,0,42.77147265625
photon,1.2,2,1,42.94380078125
photon,1.2,2,2,43.2538515625
photon,1.2,2,3,43.2167890625
photon,1.2,2,4,42.0351015625
photon,1.2,6,0,44.17844921875
photon,1.2,6,1,43.1186484375
photon,1.2,6,2,42.85153515625
